rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,link,furnishing,availability_date,smoking,cats,dogs
338362,Toronto,Ontario,235 Bloor Street East,43.671323,-79.380831,Long Term,Apartment,2239,Studio,1,326,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/338362,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
309240,Toronto,Ontario,150 Roehampton Avenue,43.7091236,-79.3943852,Long Term,Apartment,2421,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/309240,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
343048,Toronto,Ontario,44 Jackes Avenue,43.685763,-79.391121,Long Term,Apartment,2758,1 Bed,1,684,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/343048,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
572313,Toronto,Ontario,260 Wellesley Street East,43.6691288,-79.3717666,Long Term,Apartment,2000,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/572313,Unfurnished,Immediate,,TRUE,TRUE
377690,Toronto,Ontario,123 Parkway Forest Dr.,43.7746402,-79.3427626,Long Term,Apartment,2953.01,2 Beds,2,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/377690,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
567464,Toronto,Ontario,66 Spadina Road,43.6699837,-79.4054585,Long Term,Apartment,2349,1 Bed,1,595,/on/toronto/rentals/apartment/1-bedroom/567464,Unfurnished,Immediate,,FALSE,FALSE
533573,Toronto,Ontario,730 St. Clarens Avenue ,43.6672544,-79.4457067,Long Term,Apartment,1550,Studio,1,230,/on/toronto/rentals/apartment/studio/pet-friendly/533573,Unfurnished,Immediate,,TRUE,TRUE
563744,Toronto,Ontario,280 Wellesley Street East,43.6684862,-79.3704469,Long Term,Apartment,2150,1 Bed,1,660,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/563744,Unfurnished,Immediate,,TRUE,TRUE
432912,Toronto,Ontario,140 Erskine Avenue,43.7123425,-79.3936271,Long Term,Apartment,1805,Studio,1,390,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/432912,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
499704,Toronto,Ontario,18 Brownlow Avenue,43.70654579,-79.39124099,Long Term,Apartment,1900,Studio,1,390,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/499704,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
343050,Toronto,Ontario,77 Finch Avenue East,43.780286,-79.411615,Long Term,Apartment,3032,2 Beds,2,900,/on/toronto/rentals/apartment/1-bedroom/hillhurst/non-smoking/343050,Unfurnished,Immediate,Non-Smoking,FALSE,FALSE
537563,Toronto,Ontario,40 Alexander Street,43.663292,-79.3820119,Long Term,Apartment,2300,1 Bed,1,500,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/537563,Unfurnished,Immediate,,TRUE,TRUE
565589,Toronto,Ontario,2040 Eglinton Avenue West,43.694454,-79.4568784,Long Term,Apartment,1905.33,Studio,1,460,/on/toronto/rentals/apartment/1-bedroom/565589,Unfurnished,Immediate,,FALSE,FALSE
565580,Toronto,Ontario,301 Dixon Road,43.6949104,-79.5525119,Long Term,Apartment,2925,2 Beds,1,1058,/on/toronto/rentals/apartment/1-bedroom/565580,Unfurnished,Immediate,,FALSE,FALSE
542010,Toronto,Ontario,3464 Yonge St,43.7349456,-79.4048806,Long Term,Apartment,2200,1 Bed,1,600,/on/toronto/rentals/apartment/1-bedroom/542010,Unfurnished,Immediate,,FALSE,FALSE
454573,Toronto,Ontario,95 Redpath Ave.,43.7069432,-79.3921349,Long Term,Apartment,2400,1 Bed,1,730,/on/toronto/rentals/apartment/1-bedroom/non-smoking/454573,Unfurnished,Immediate,Non-Smoking,FALSE,FALSE
454579,Toronto,Ontario,21 Park Blvd.,43.5907831,-79.5311694,Long Term,Apartment,1700,Studio,1,370,/on/toronto/rentals/apartment/1-bedroom/non-smoking/454579,Unfurnished,Immediate,Non-Smoking,FALSE,FALSE
433694,Toronto,Ontario,10 Garfella Drive,43.7453554,-79.593045,Long Term,Apartment,2199,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/433694,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
555639,Toronto,Ontario,120 Raglan Avenue,43.6866542,-79.4212907,Long Term,Apartment,1944,Studio,1,398,/on/toronto/rentals/apartment/1-bedroom/555639,Unfurnished,Immediate,,FALSE,FALSE
537566,Toronto,Ontario,225 Davisville Avenue,43.69973845,-79.38810388,Long Term,Apartment,3025,2 Beds,2,1060,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/537566,Unfurnished,Immediate,,TRUE,TRUE
561293,Toronto,Ontario,94 Eastdale Avenue,43.6950176,-79.3017145,Long Term,Apartment,2450,1 Bed,1,610,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/561293,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
415752,Toronto,Ontario,3 Summerland Terrace,43.6431922,-79.5321985,Long Term,Apartment,2050,Studio,1,372,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415752,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
415748,Toronto,Ontario,151 Beecroft Road,43.765046,-79.4138608,Long Term,Apartment,2590,1 Bed,1,490,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415748,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
415751,Toronto,Ontario,7 Summerland Terrace,43.6435388,-79.531935,Long Term,Apartment,2025,Studio,1,411,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415751,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
415747,Toronto,Ontario,132 Berkeley Street,43.6547286,-79.3659454,Long Term,Apartment,1870,Studio,1,367,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415747,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
415750,Toronto,Ontario,5191 Dundas Street West,43.6435554,-79.5329998,Long Term,Apartment,2125,Studio,1,435,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415750,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
415749,Toronto,Ontario,570 Bay Street,43.6552908,-79.3839713,Long Term,Apartment,2115,Studio,1,495,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415749,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
