hood_id,neighbourhood_name,crime_incidents,violent_incidents,unique_mci_categories,violent_crime_ratio,rental_count,median_rent,mean_rent,median_price_per_bedroom,restaurant_count,avg_restaurant_price,restaurant_price_imputed_share,nearest_subway_km,rent_metrics_imputed,restaurant_metrics_imputed,subway_distance_imputed,crime_incidents_per_1k_total
1,West Humber-Clairville,5072,1977,5,0.3897870662460568,0.0,1934.75,1906.8333333333335,1412.0,21.0,17.0,0.6666666666666666,9.38107645070263,1,0,0,28.35230194754377
2,Mount Olive-Silverstone-Jamestown,2180,1623,5,0.7444954128440368,0.0,1934.75,1906.8333333333335,1412.0,19.0,23.31578947368421,0.7894736842105263,7.202854028462435,1,0,0,12.186123471144601
3,Thistletown-Beaumond Heights,615,348,5,0.5658536585365853,0.0,1934.75,1906.8333333333335,1412.0,34.0,17.102941176470587,0.6176470588235294,6.29676494138122,1,0,0,3.4378284104375822
4,Rexdale-Kipling,688,425,5,0.6177325581395349,1.0,1800.0,1800.0,900.0,31.0,17.282258064516128,0.5806451612903226,7.524672298114518,0,0,0,3.845895847774076
5,Elms-Old Rexdale,519,347,5,0.6685934489402697,0.0,1934.75,1906.8333333333335,1412.0,13.0,15.653846153846153,0.5384615384615384,6.740467950964431,1,0,0,2.901191780515618
6,Kingsview Village-The Westway,1111,630,5,0.5670567056705671,0.0,1934.75,1906.8333333333335,1412.0,15.0,15.6,0.6,6.108192622472405,1,0,0,6.2104509983677305
7,Willowridge-Martingrove-Richview,1090,572,5,0.5247706422018349,0.0,1934.75,1906.8333333333335,1412.0,44.0,23.392045454545453,0.22727272727272727,4.874662325979678,1,0,0,6.0930617355723005
8,Humber Heights-Westmount,467,191,5,0.4089935760171306,0.0,1934.75,1906.8333333333335,1412.0,11.0,16.204545454545453,0.36363636363636365,4.981833323181549,1,0,0,2.6105136059745546
9,Edenbridge-Humber Valley,603,179,5,0.296849087893864,0.0,1934.75,1906.8333333333335,1412.0,1.0,45.5,0.0,2.8055201249339654,1,0,0,3.370748831697337
10,Princess-Rosethorn,516,191,5,0.3701550387596899,0.0,1934.75,1906.8333333333335,1412.0,1.0,10.0,0.0,3.1285188614176245,1,0,0,2.884421885830557
11,Eringate-Centennial-West Deane,692,340,5,0.4913294797687861,0.0,1934.75,1906.8333333333335,1412.0,24.0,16.34375,0.125,3.9761551222086124,1,0,0,3.868255707354158
12,Markland Wood,391,156,5,0.3989769820971867,0.0,1934.75,1906.8333333333335,1412.0,108.0,17.203703703703702,0.4166666666666667,3.0932128395035963,1,0,0,2.185676273953
13,Etobicoke West Mall,464,286,5,0.6163793103448276,0.0,1934.75,1906.8333333333335,1412.0,17.0,16.794117647058822,0.4117647058823529,2.7292113897747172,1,0,0,2.593743711289493
14,Islington-City Centre West,2966,1368,5,0.4612272420768712,0.0,1934.75,1906.8333333333335,1412.0,73.0,16.94178082191781,0.2876712328767123,0.5819985429154036,1,0,0,16.579835878630682
15,Kingsway South,444,189,5,0.42567567567567566,0.0,1934.75,1906.8333333333335,1412.0,74.0,20.99662162162162,0.2702702702702703,0.4627201350247509,1,0,0,2.481944413389084
16,Stonegate-Queensway,1026,507,5,0.49415204678362573,0.0,1934.75,1906.8333333333335,1412.0,67.0,19.69402985074627,0.29850746268656714,1.7784749702252767,1,0,0,5.735303982290991
17,Mimico (includes Humber Bay Shores),2235,1604,5,0.7176733780760627,1.0,1200.0,1200.0,1200.0,57.0,18.267543859649123,0.2631578947368421,3.7058523038918447,0,0,0,12.493571540370727
18,New Toronto,873,609,5,0.697594501718213,0.0,1934.75,1906.8333333333335,1412.0,39.0,15.653846153846153,0.3076923076923077,4.62922609004168,1,0,0,4.880039353352861
19,Long Branch,639,382,5,0.5978090766823161,2.0,1375.0,1375.0,1375.0,74.0,17.486486486486488,0.2972972972972973,4.944251175257175,0,0,0,3.5719875679180735
20,Alderwood,486,217,5,0.44650205761316875,0.0,1934.75,1906.8333333333335,1412.0,115.0,18.071739130434782,0.3652173913043478,3.6436704047003095,1,0,0,2.716722938979943
21,Humber Summit,1469,639,5,0.43498978897208984,0.0,1934.75,1906.8333333333335,1412.0,126.0,19.134920634920636,0.4523809523809524,4.619566061541967,1,0,0,8.211658430785056
22,Humbermede,1267,747,5,0.5895816890292028,0.0,1934.75,1906.8333333333335,1412.0,40.0,17.45,0.55,4.400480489557983,1,0,0,7.082485521990922
23,Pelmo Park-Humberlea,784,372,5,0.4744897959183674,0.0,1934.75,1906.8333333333335,1412.0,12.0,17.0,0.5,5.658463805233511,1,0,0,4.38253247769604
24,Black Creek,1725,1237,5,0.7171014492753623,0.0,1934.75,1906.8333333333335,1412.0,145.0,18.88448275862069,0.43448275862068964,1.5392508244768741,1,0,0,9.642689443910292
25,Glenfield-Jane Heights,2306,1728,5,0.7493495229835212,0.0,1934.75,1906.8333333333335,1412.0,26.0,16.259615384615383,0.8461538461538461,2.554361521436872,1,0,0,12.89045904791718
26,Downsview-Roding-CFB,3393,2250,5,0.6631299734748011,0.0,1934.75,1906.8333333333335,1412.0,37.0,15.817567567567568,0.5405405405405406,3.248973584950795,1,0,0,18.96675088880442
27,York University Heights,3454,2006,5,0.5807759119861031,0.0,1934.75,1906.8333333333335,1412.0,136.0,17.75551470588235,0.47058823529411764,0.17125943591058604,1,0,0,19.307738747400666
28,Rustic,523,346,5,0.6615678776290631,0.0,1934.75,1906.8333333333335,1412.0,30.0,15.075,0.4666666666666667,4.5909218409174075,1,0,0,2.9235516400957002
