adaptive_cell_id,rental_count,seed_rental_idx,seed_local_k_radius_m,x_centroid,y_centroid,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle
ac_0081,5,275,133.41439538512287,629612.5416946016,4833658.487947366,133.41439538512287,2658.4,2400.0,2299.2,"275,1079,444,441,687",-79.3929331,43.6446286,0.05591846709310373,132,97,0.7348484848484849,14,0
ac_0082,5,22,135.07097421242716,630865.0867290223,4836599.319066976,135.07097421242716,2215.2,1950.0,1822.6,"22,681,430,37,1156",-79.3766958,43.670877999999995,0.05731574439431662,111,75,0.6756756756756757,2,0
ac_0083,5,341,137.3338465234328,629624.9610022691,4833979.154353478,137.3338465234328,2220.0,2100.0,2100.0,"341,424,496,114,308",-79.3927022,43.6475126,0.059252276537938825,292,189,0.6472602739726028,14,0
ac_0084,5,831,142.50186058813404,629114.1319353211,4836402.7377050435,142.50186058813404,2622.0,2150.0,2132.0,"831,1100,357,1040,1037",-79.398454,43.669415,0.06379563171768704,48,30,0.625,3,1
ac_0085,5,1118,143.91962493817928,630028.985006689,4836186.518866357,143.91962493817928,2489.8,2400.0,2139.8,"1118,280,493,99,487",-79.3871626,43.66730939999999,0.06507136391732013,299,188,0.6287625418060201,24,0
ac_0086,5,480,144.37050575282032,632015.4227781672,4835393.710780269,144.37050575282032,2274.8,2475.0,1854.8,"480,110,541,193,229",-79.3627273,43.6598236,0.06547972223297696,145,96,0.6620689655172414,2,0
ac_0087,5,640,145.38769553844133,629410.9151684081,4841177.954434365,145.38769553844133,2060.0,1850.0,2060.0,"640,962,986,944,978",-79.3936271,43.71234249999999,0.06640567236976665,69,32,0.463768115942029,0,0
ac_0088,5,457,150.26056855106603,627745.0627145525,4832970.999409632,150.26056855106603,2279.8,2200.0,2009.9,"457,1104,274,57,334",-79.4162418,43.6387639,0.07093162808098596,111,50,0.45045045045045046,12,0
ac_0089,5,1108,150.40139496506174,627286.5133800321,4838276.677717797,150.40139496506174,2340.9,1995.0,1969.35,"1108,650,694,859,695",-79.420673,43.68659689999999,0.07106464671466559,108,51,0.4722222222222222,0,0
ac_0090,5,934,151.38391536768046,629345.4521963301,4840374.257749236,151.38391536768046,2406.0,2250.0,2062.5,"934,685,686,930,1168",-79.39463250000001,43.70512029999999,0.07199616105802262,53,15,0.2830188679245283,0,0
ac_0091,5,35,155.8328557473394,630063.01669409,4833972.931368499,155.8328557473394,2699.0,2400.0,2699.0,"145,35,508,622,163",-79.3872741,43.64738009999999,0.0762900556483178,340,290,0.8529411764705882,21,0
ac_0092,5,56,156.69699328118716,632736.4347216724,4834893.363153104,156.69699328118716,2929.8,2999.0,1929.9,"122,202,337,56,179",-79.3539119,43.655191899999984,0.07713850172151762,12,6,0.5,0,0
ac_0093,5,461,157.39807396762515,630276.2258148002,4835079.053329285,157.39807396762515,2070.0,2000.0,1620.0,"461,552,238,463,491",-79.3843645,43.657298399999995,0.07783029922738094,306,219,0.7156862745098039,27,0
ac_0094,5,476,157.41165254833007,630608.9561768874,4834250.504728719,157.41165254833007,2700.0,2800.0,1910.0,"476,54,553,158,25",-79.3804402,43.649782699999996,0.07784372849698183,178,108,0.6067415730337079,35,0
ac_0095,5,465,158.28491720958402,629262.1719864926,4833825.013319416,158.28491720958402,2485.0,2200.0,2090.0,"465,557,526,243,223",-79.3972358,43.6461884,0.07870982367660029,278,186,0.6690647482014388,16,0
ac_0096,5,789,158.7758293997242,626907.1902504386,4840329.864410058,158.7758293997242,2844.8,2589.0,2105.8,"789,1132,727,609,854",-79.424894,43.7051417,0.07919880938606574,56,39,0.6964285714285714,0,0
ac_0097,5,405,162.88365996219832,628930.7284042576,4833574.113531835,162.88365996219832,2450.0,2650.0,2170.0,"405,419,311,206,213",-79.4014038,43.6439877,0.08334986701406477,548,436,0.7956204379562044,29,0
ac_0098,5,195,165.93154235680373,630538.3293548798,4836615.576127978,165.93154235680373,2329.8,2215.0,1972.3,"195,204,632,862,94",-79.3807435,43.67108179999999,0.08649833996362326,186,110,0.5913978494623656,8,0
ac_0099,5,1115,166.8076826510303,629413.9115724862,4840835.761893327,166.8076826510303,2719.2,2925.0,2391.7,"1115,633,602,1122,818",-79.3936722,43.7092621,0.08741419666538701,136,69,0.5073529411764706,11,0
ac_0100,5,1062,179.7999706066942,627763.706132159,4833284.922043586,179.7999706066942,2805.0,2995.0,2155.0,"1062,418,1147,71,144",-79.4159365,43.641586200000006,0.10156149976285071,101,62,0.6138613861386139,0,0
ac_0101,5,1111,180.68941255503995,630300.6234915399,4836196.47185835,180.68941255503995,2843.4,2499.0,2190.0666666666666,"1111,598,1008,912,786",-79.3837922,43.6673514,0.10256880237340238,276,150,0.5434782608695652,25,0
ac_0102,5,448,185.49630948312617,632575.6355995102,4835337.458335272,185.49630948312617,2778.0,2950.0,1764.0,"448,1067,1099,1150,1140",-79.3557961,43.659217600000005,0.10809868723961716,51,16,0.3137254901960784,0,0
ac_0103,5,175,190.15826921249888,630580.6838674159,4835366.34124437,190.15826921249888,1793.8,1899.0,1793.8,"208,175,346,908,669",-79.3805207,43.6598307,0.11360051609900199,540,438,0.8111111111111111,28,0
ac_0104,5,288,190.22870793094248,628842.3650900193,4833887.9923182605,190.22870793094248,2071.8,2150.0,2071.8,"288,540,409,1072,671",-79.4024241,43.6468281,0.11368469184202978,592,453,0.7652027027027027,35,0
ac_0105,5,183,190.52399130043094,630861.0950896064,4835957.914995246,190.52399130043094,2759.8,2699.0,1759.9,"183,443,347,484,63",-79.3769009,43.66510579999999,0.11403790091548578,411,276,0.6715328467153284,1,0
ac_0106,5,50,193.31726159546741,630214.7382437272,4834728.574661443,193.31726159546741,2223.0,2500.0,2223.0,"50,174,194,658,140",-79.3852113,43.65415469999999,0.11740622975559173,234,171,0.7307692307692307,44,0
ac_0107,5,628,194.5602482398056,626709.8594885985,4833439.37866209,194.5602482398056,2578.0,2495.0,1738.5,"628,249,333,1044,696",-79.42896140000002,43.64315669999999,0.11892087502829939,131,76,0.5801526717557252,7,0
