grid_id,grid_ix,grid_iy,crime,rentals,restaurants,subway,total_points,x_min,x_max,y_min,y_max,x_centroid,y_centroid,centroid_lon,centroid_lat,cell_area_km2
g_5_31,5,31,90.0,0.0,0.0,0.0,90.0,612000.0,612500.0,4842500.0,4843000.0,612250.0,4842750.0,-79.60624996107948,43.729287895096654,0.25
g_5_32,5,32,96.0,0.0,0.0,0.0,96.0,612000.0,612500.0,4843000.0,4843500.0,612250.0,4843250.0,-79.60614556676077,43.733788527866864,0.25
g_5_33,5,33,54.0,0.0,0.0,0.0,54.0,612000.0,612500.0,4843500.0,4844000.0,612250.0,4843750.0,-79.60604114823214,43.73828915688002,0.25
g_5_34,5,34,133.0,0.0,0.0,0.0,133.0,612000.0,612500.0,4844000.0,4844500.0,612250.0,4844250.0,-79.60593670548683,43.74278978213599,0.25
g_5_35,5,35,38.0,0.0,0.0,0.0,38.0,612000.0,612500.0,4844500.0,4845000.0,612250.0,4844750.0,-79.60583223851818,43.74729040363473,0.25
g_5_36,5,36,49.0,0.0,0.0,0.0,49.0,612000.0,612500.0,4845000.0,4845500.0,612250.0,4845250.0,-79.6057277473194,43.75179102137614,0.25
g_5_37,5,37,36.0,0.0,0.0,0.0,36.0,612000.0,612500.0,4845500.0,4846000.0,612250.0,4845750.0,-79.60562323188385,43.75629163536015,0.25
g_6_13,6,13,6.0,0.0,1.0,0.0,7.0,612500.0,613000.0,4833500.0,4834000.0,612750.0,4833750.0,-79.60192685251018,43.64820021394685,0.25
g_6_14,6,14,18.0,0.0,1.0,0.0,19.0,612500.0,613000.0,4834000.0,4834500.0,612750.0,4834250.0,-79.60182243025547,43.65270090251131,0.25
g_6_21,6,21,32.0,0.0,1.0,0.0,33.0,612500.0,613000.0,4837500.0,4838000.0,612750.0,4837750.0,-79.60109079659155,43.6842056172522,0.25
g_6_22,6,22,54.0,0.0,1.0,0.0,55.0,612500.0,613000.0,4838000.0,4838500.0,612750.0,4838250.0,-79.60098618057611,43.68870627575558,0.25
g_6_23,6,23,8.0,0.0,0.0,0.0,8.0,612500.0,613000.0,4838500.0,4839000.0,612750.0,4838750.0,-79.60088154031038,43.69320693050093,0.25
g_6_24,6,24,21.0,0.0,0.0,0.0,21.0,612500.0,613000.0,4839000.0,4839500.0,612750.0,4839250.0,-79.60077687578766,43.697707581488196,0.25
