hood_id,neighbourhood_name,crime_incidents,violent_incidents,unique_mci_categories,centroid_lat,centroid_lon,violent_crime_ratio,rent_listings,median_rent,mean_rent,restaurant_count,avg_restaurant_price,nearest_subway_km,rent_data_missing,restaurant_price_missing,log_crime_incidents,log_rent_listings,log_restaurant_count,cluster,pc1,pc2,affordability_score,safety_score,amenity_score,emerging_score
80,Palmerston-Little Italy,1053,649,5,43.66004565432099,-79.41856078091169,0.6163342830009497,1.0,65.0,65.0,249.0,19.305,0.45174894497888163,0,0,6.960347729101308,0.6931471805599453,5.521460917862246,0,1.3529455064883478,-0.36533277906065187,1.2666114872479415,0.34227062990873985,1.8566376494451338,1.1663170787053385
77,Waterfront Communities-The Island,7747,5604,5,43.64515718942816,-79.38785159820576,0.7233767910158772,283.0,2400.0,2564.6607773851592,1184.0,21.348677248677248,0.37858743488500635,0,0,8.955190024526887,5.648974238161206,7.077498053569231,0,5.648064284568489,0.706080978346692,-0.25817324919599915,-5.092997412542751,8.5374344408614,0.9300618088171952
95,Annex,2917,1723,5,43.67053616976345,-79.40190007027769,0.5906753513884128,12.0,1967.5,2246.9166666666665,557.0,23.478571428571428,0.31639426359531486,0,0,7.978653729082731,2.5649493574615367,6.324358962381311,0,3.166223137685131,-0.6562640529409344,0.0242547587320541,-1.1712249827488008,4.104431918502575,0.8896639842189539
15,Kingsway South,496,226,5,43.6521797296371,-79.51094003749999,0.45564516129032256,0.0,1897.0,1886.6666666666665,274.0,27.55785123966942,0.4453717294106723,1,0,6.208590026096629,0.0,5.616771097666572,1,-0.40221188595788576,-2.5036028618997603,0.07029215655616451,0.7945329991417067,2.037138696872387,0.8776183714266939
79,University,1455,944,5,43.66272468604811,-79.40360189106529,0.6487972508591066,5.0,1000.0,1090.0,282.0,18.36150234741784,0.6527247632323642,0,0,7.283448228756631,1.791759469228055,5.645446897643238,0,2.1355521824262835,-0.06545515690981428,0.6560445799352715,0.015862241342038473,2.006324370240634,0.8690738154489103
78,Kensington-Chinatown,3823,2593,5,43.653542841982734,-79.39799602801465,0.6782631441276484,32.0,2025.0,2121.34375,612.0,17.376436781609197,0.7949711932188108,0,0,8.249052274171293,3.4965075614664802,6.418364935936212,0,3.7873297997140956,0.6144818061082449,-0.013293473535837375,-1.9068617987722623,4.293158936773953,0.7105717519861722
81,Trinity-Bellwoods,1572,991,5,43.65074742264631,-79.41398945941475,0.6304071246819338,0.0,1897.0,1886.6666666666665,374.0,31.983128834355828,1.527202324147742,1,0,7.360739903058278,0.0,5.926926025970411,1,0.6398707275942761,-1.2266608200170699,0.07029215655616451,-0.07913721503185223,2.2907324336297754,0.6915954282018427
100,Yonge-Eglinton,823,572,5,43.705355617861485,-79.40082147436209,0.6950182260024301,1.0,1300.0,1300.0,130.0,22.046875,0.18999699855854996,0,0,6.714170529909472,0.6931471805599453,4.875197323201151,0,1.268183999929154,-0.7580338470729224,0.46014075940714205,0.529021697994166,1.121015679547149,0.6790675170252514
89,Runnymede-Bloor West Village,573,322,5,43.65886511204189,-79.48534416910994,0.5619546247818499,0.0,1897.0,1886.6666666666665,210.0,18.672774869109947,1.0021782323605117,1,0,6.352629396319567,0.0,5.351858133476067,1,-0.4450079974007675,-0.9093358799385594,0.07029215655616451,0.7320119893913684,1.346429762413687,0.6516493881639824
69,Blake-Jones,679,498,5,43.677185111929305,-79.33840903313697,0.7334315169366715,3.0,1300.0,1525.0,114.0,16.789473684210527,0.43006105026236835,0,0,6.522092798170152,1.3862943611198906,4.74493212836325,0,1.3910453574702475,-0.13000335888704492,0.46014075940714205,0.6459441058389546,0.905673105748286,0.649541467239029
83,Dufferin Grove,1049,748,5,43.65630061687321,-79.43689288388943,0.7130600571973308,8.0,1737.0,1723.625,189.0,24.44551282051282,0.45700340211301804,0,0,6.956545443151569,2.1972245773362196,5.247024072160486,0,2.303992350342343,-0.81904853385984,0.17477419417116688,0.3455184745710951,1.427686702709548,0.6018712308526597
67,Playter Estates-Danforth,707,481,5,43.67872848458274,-79.35371145190948,0.6803394625176803,0.0,1897.0,1886.6666666666665,146.0,20.015503875968992,0.11121804278009656,1,0,6.56244409369372,0.0,4.990432586778736,1,-0.08633026633263886,-0.5377963218639299,0.07029215655616451,0.6232091932024679,1.268133803870741,0.5955197617444286
56,Leaside-Bennington,582,242,5,43.706587924742266,-79.36846281185566,0.41580756013745707,0.0,1897.0,1886.6666666666665,255.0,20.334016393442624,2.4174064793393315,1,0,6.368187186350492,0.0,5.545177444479562,1,-0.8175537755915118,-1.4518392338179313,0.07029215655616451,0.7247043389010691,1.0678269338976316,0.565876244462076
105,Lawrence Park North,513,189,5,43.7293528957115,-79.40492553840156,0.3684210526315789,0.0,1897.0,1886.6666666666665,105.0,33.56962025316456,0.3878335875993632,1,0,6.2422232654551655,0.0,4.663439094112067,1,-0.8147803329203234,-3.4443335312551535,0.07029215655616451,0.7807296593266969,0.8595263034891258,0.5201936514672125
37,Willowdale West,1035,733,5,43.77292243497585,-79.42147966570047,0.7082125603864734,0.0,1897.0,1886.6666666666665,178.0,19.135593220338983,0.8530113475266842,1,0,6.943122422819428,0.0,5.187385805840755,1,0.1374118337534809,0.064210086420648,0.07029215655616451,0.3568859308893384,1.1819397265464864,0.4897645598532132
